19, Muralha da China, Alvo, 0.25, 29.97276, 12.38597
20, Muralha da China, Alvo, 0, 29.97276, 12.26316
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.51252, 7.852174
23, Muralha da China, Centro, 0.5, 29.57761, 9.390244
24, Muralha da China, Centro, 0.25, 29.97276, 12.38597
25, Muralha da China, Centro, 0, 29.97276, 12.38597
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.51252, 7.834783
28, Muralha da China, Misto, 0.5, 29.97276, 12.38597
29, Muralha da China, Misto, 0.25, 29.97276, 12.38597
30, Muralha da China, Misto, 0, 29.97276, 12.35088
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
33, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
34, Pedregulho, Alvo, 0.25, 25.16842, 8.507246
35, Pedregulho, Alvo, 0, 25.16842, 8.565217
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.528571
38, Pedregulho, Centro, 0.5, 25.16842, 8.553846
39, Pedregulho, Centro, 0.25, 25.16842, 8.553846
40, Pedregulho, Centro, 0, 25.16842, 8.553846
41, Pedregulho, Misto, 1, 25.16842, 8.507246
42, Pedregulho, Misto, 0.99, 25.16842, 8.521739
43, Pedregulho, Misto, 0.5, 25.16842, 8.553846
44, Pedregulho, Misto, 0.25, 25.16842, 8.553846
45, Pedregulho, Misto, 0, 25.16842, 8.553846
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.7, 13.51252, 9.692307
4, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Árvore solitária, Centro, 1, 13.51252, 6.909091
7, Árvore solitária, Centro, 0.99, 13.51252, 7.227848
8, Árvore solitária, Centro, 0.7, 13.57761, 9.843137
9, Árvore solitária, Centro, 0.5, 13.57761, 9.843137
10, Árvore solitária, Centro, 0, 14.01878, 10.09524
11, Árvore solitária, Misto, 1, 13.51252, 6.909091
12, Árvore solitária, Misto, 0.99, 13.51252, 7.21519
13, Árvore solitária, Misto, 0.7, 13.54507, 9.745098
14, Árvore solitária, Misto, 0.5, 13.97276, 9.952381
15, Árvore solitária, Misto, 0, 13.97276, 9.904762
16, Muralha da China, Alvo, 1, 29.51252, 6.076555
17, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
18, Muralha da China, Alvo, 0.7, 29.51252, 8.150537
19, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
20, Muralha da China, Alvo, 0, 29.97276, 12.26316
21, Muralha da China, Centro, 1, 29.51252, 6.076555
22, Muralha da China, Centro, 0.99, 29.51252, 7.852174
23, Muralha da China, Centro, 0.7, 29.54507, 9.432098
24, Muralha da China, Centro, 0.5, 29.57761, 9.390244
25, Muralha da China, Centro, 0, 29.97276, 12.38597
26, Muralha da China, Misto, 1, 29.51252, 6.076555
27, Muralha da China, Misto, 0.99, 29.51252, 7.834783
28, Muralha da China, Misto, 0.7, 29.51252, 9.325301
29, Muralha da China, Misto, 0.5, 29.97276, 12.38597
30, Muralha da China, Misto, 0, 29.97276, 12.35088
31, Pedregulho, Alvo, 1, 25.16842, 8.507246
32, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
33, Pedregulho, Alvo, 0.7, 25.16842, 8.507246
34, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
35, Pedregulho, Alvo, 0, 25.16842, 8.565217
36, Pedregulho, Centro, 1, 25.16842, 8.507246
37, Pedregulho, Centro, 0.99, 25.16842, 8.528571
38, Pedregulho, Centro, 0.7, 25.16842, 8.553846
39, Pedregulho, Centro, 0.5, 25.16842, 8.553846
40, Pedregulho, Centro, 0, 25.16842, 8.553846
41, Pedregulho, Misto, 1, 25.16842, 8.507246
42, Pedregulho, Misto, 0.99, 25.16842, 8.521739
43, Pedregulho, Misto, 0.7, 25.16842, 8.553846
44, Pedregulho, Misto, 0.5, 25.16842, 8.553846
45, Pedregulho, Misto, 0, 25.16842, 8.553846
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.7, 13.51252, 9.692307
4, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
8, Muralha da China, Alvo, 0.7, 29.51252, 8.150537
9, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
10, Muralha da China, Alvo, 0, 29.97276, 12.26316
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
12, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
13, Pedregulho, Alvo, 0.7, 25.16842, 8.507246
14, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
15, Pedregulho, Alvo, 0, 25.16842, 8.565217
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.7, 13.51252, 9.692307
4, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
8, Muralha da China, Alvo, 0.7, 29.51252, 8.150537
